ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,1-Jan,14/18842,0.071428571,1345.857143,36.67229394,0.000743021,0.001486042,NA,2857,1,GPR34
GO:0035590,purinergic nucleotide receptor signaling pathway,1-Jan,30/18842,0.033333333,628.0666667,25.04129922,0.001592188,0.001592188,NA,2857,1,GPR34
