"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_symbols"
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","6/67","72/9422",0.0833333333333333,11.7189054726368,7.72635913588975,1.11326686805642e-05,0.000110016961078517,7.7894214297446e-05,"3627/9636/3665/64135/3576/3456",6,"CXCL10/ISG15/IRF7/IFIH1/CXCL8/IFNB1"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","9/67","239/9422",0.0376569037656904,5.29557234746768,5.69235141995626,4.43644888234667e-05,0.000414068562352355,0.000293168844272031,"3627/9636/1440/64135/6347/4600/4939/3576/3456",9,"CXCL10/ISG15/CSF3/IFIH1/CCL2/MX2/OAS2/CXCL8/IFNB1"
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/67","196/9422",0.0408163265306122,5.73987206823028,5.67481800324259,6.93058060294594e-05,0.000612809232260483,0.000433881223342322,"6714/2919/3665/2921/7422/3576/2920/3456",8,"SRC/CXCL1/IRF7/CXCL3/VEGFA/CXCL8/CXCL2/IFNB1"
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","6/67","103/9422",0.058252427184466,8.191856252717,6.21067726850134,8.57659112790061e-05,0.000720433654743651,0.000510081472343563,"2919/3586/2921/3576/2920/3554",6,"CXCL1/IL10/CXCL3/CXCL8/CXCL2/IL1R1"
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","7/67","156/9422",0.0448717948717949,6.31017986988136,5.65964760107705,0.000112735131129123,0.000901881049032984,0.000638549865543403,"3627/3665/9021/4600/4939/3434/3456",7,"CXCL10/IRF7/SOCS3/MX2/OAS2/IFIT1/IFNB1"
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","7/67","163/9422",0.0429447852760736,6.0391905503159,5.49207612639289,0.000148283245143154,0.00113234478109317,0.000801722808668725,"6714/1960/3665/64135/6775/3576/3456",7,"SRC/EGR3/IRF7/IFIH1/STAT4/CXCL8/IFNB1"
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","5/67","83/9422",0.0602409638554217,8.47149793202661,5.78576175520514,0.000295710313969126,0.00215997098899187,0.00152930276789525,"3627/6351/3665/9560/3456",5,"CXCL10/CCL4/IRF7/CCL4L2/IFNB1"
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","7/67","201/9422",0.0348258706467662,4.89745303334076,4.72665512231365,0.0005330853737011,0.0037315976159077,0.00264204593106247,"330/51513/958/3486/8013/4233/3576",7,"BIRC3/ETV7/CD40/IGFBP3/NR4A3/MET/CXCL8"
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","4/67","56/9422",0.0714285714285714,10.044776119403,5.74485095215508,0.000649659905387289,0.00436571456420259,0.00309101344457952,"2919/2921/3576/2920",4,"CXCL1/CXCL3/CXCL8/CXCL2"
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","5/67","103/9422",0.0485436893203883,6.82654687726416,5.03163591886463,0.000799288404162207,0.0051646327653558,0.00365666354940605,"6347/3586/6349/3576/3456",5,"CCL2/IL10/CCL3L1/CXCL8/IFNB1"
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","4/67","80/9422",0.05,7.03134328358209,4.58461759786343,0.00246242553014036,0.0153217588542067,0.0108481124719634,"6714/3084/4233/7422",4,"SRC/NRG1/MET/VEGFA"
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","3/67","39/9422",0.0769230769230769,10.8174512055109,5.19905251373897,0.00261594635897491,0.0156956781538495,0.0111128548332393,"958/3586/941",3,"CD40/IL10/CD80"
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","5/67","136/9422",0.0367647058823529,5.17010535557506,4.14539719489422,0.00274531129873692,0.0159038723513036,0.0112602604993565,"3665/64135/4600/4939/3456",5,"IRF7/IFIH1/MX2/OAS2/IFNB1"
