ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0050777,negative regulation of immune response,Aug-97,202/18842,0.03960396,7.692967235,6.879653247,9.71E-06,0.000249272,0.000181618,6714/9636/29126/259307/54625/10148/941/3456,8,SRC/ISG15/CD274/IL4I1/PARP14/EBI3/CD80/IFNB1
GO:0044344,cellular response to fibroblast growth factor stimulus,Jun-97,96/18842,0.0625,12.14046392,7.871902495,1.02E-05,0.000257942,0.000187936,1960/10563/54567/6347/3164/3576,6,EGR3/CXCL13/DLL4/CCL2/NR4A1/CXCL8
GO:0050867,positive regulation of cell activation,Oct-97,345/18842,0.028985507,5.630360078,6.244084675,1.14E-05,0.000286085,0.00020844,6714/1236/29126/259307/6347/3586/7412/8013/10148/941,10,SRC/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/CD80
GO:0050863,regulation of T cell activation,Oct-97,346/18842,0.028901734,5.614087361,6.231320275,1.17E-05,0.000290025,0.000211311,6714/1236/29126/259307/6347/3586/7412/10148/941/3456,10,SRC/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/EBI3/CD80/IFNB1
GO:0043410,positive regulation of MAPK cascade,Nov-97,428/18842,0.025700935,4.992340303,6.009944862,1.26E-05,0.000308641,0.000224875,6714/10135/3690/3624/1236/3084/958/57007/10148/7422/3554,11,SRC/NAMPT/ITGB3/INHBA/CCR7/NRG1/CD40/ACKR3/EBI3/VEGFA/IL1R1
GO:0001938,positive regulation of endothelial cell proliferation,Jun-97,100/18842,0.06,11.65484536,7.684830691,1.29E-05,0.000311739,0.000227132,1960/3690/654/3586/3164/7422,6,EGR3/ITGB3/BMP6/IL10/NR4A1/VEGFA
GO:0030098,lymphocyte differentiation,Oct-97,356/18842,0.028089888,5.456388278,6.106349635,1.50E-05,0.000358838,0.000261448,3624/1236/54567/6775/259307/9021/3586/7412/941/3456,10,INHBA/CCR7/DLL4/STAT4/IL4I1/SOCS3/IL10/VCAM1/CD80/IFNB1
GO:0071774,response to fibroblast growth factor,Jun-97,103/18842,0.058252427,11.31538385,7.551372942,1.52E-05,0.000359063,0.000261612,1960/10563/54567/6347/3164/3576,6,EGR3/CXCL13/DLL4/CCL2/NR4A1/CXCL8
GO:0042088,T-helper 1 type immune response,May-97,61/18842,0.081967213,15.92191989,8.397023814,1.54E-05,0.000359063,0.000261612,6775/3586/10148/941/3554,5,STAT4/IL10/EBI3/CD80/IL1R1
GO:0070106,interleukin-27-mediated signaling pathway,Mar-97,10/18842,0.3,58.2742268,13.03185178,1.55E-05,0.000359063,0.000261612,8638/4939/10148,3,OASL/OAS2/EBI3
GO:0002710,negative regulation of T cell mediated immunity,Apr-97,30/18842,0.133333333,25.89965636,9.818194138,1.63E-05,0.000375032,0.000273247,29126/259307/941/3456,4,CD274/IL4I1/CD80/IFNB1
GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,May-97,62/18842,0.080645161,15.66511473,8.320101709,1.67E-05,0.00038017,0.00027699,29126/259307/10148/941/3456,5,CD274/IL4I1/EBI3/CD80/IFNB1
GO:0140888,interferon-mediated signaling pathway,Jun-97,105/18842,0.057142857,11.09985272,7.46542921,1.70E-05,0.000382511,0.000278696,8638/9636/3665/54625/4939/3456,6,OASL/ISG15/IRF7/PARP14/OAS2/IFNB1
GO:0051251,positive regulation of lymphocyte activation,Sep-97,289/18842,0.031141869,6.049227696,6.22245729,1.82E-05,0.00040589,0.00029573,6714/1236/29126/259307/6347/3586/7412/10148/941,9,SRC/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/EBI3/CD80
GO:0002820,negative regulation of adaptive immune response,May-97,65/18842,0.076923077,14.94210944,8.099667334,2.11E-05,0.000454207,0.000330934,29126/259307/10148/941/3456,5,CD274/IL4I1/EBI3/CD80/IFNB1
GO:0042436,indole-containing compound catabolic process,Mar-97,11/18842,0.272727273,52.97656982,12.40401793,2.12E-05,0.000454207,0.000330934,8942/259307/8564,3,KYNU/IL4I1/KMO
GO:2000406,positive regulation of T cell migration,Apr-97,32/18842,0.125,24.28092784,9.481476993,2.12E-05,0.000454207,0.000330934,3627/3690/10563/6364,4,CXCL10/ITGB3/CXCL13/CCL20
GO:0051249,regulation of lymphocyte activation,Nov-97,453/18842,0.024282561,4.716824833,5.760195961,2.13E-05,0.000454207,0.000330934,6714/3624/1236/29126/259307/6347/3586/7412/10148/941/3456,11,SRC/INHBA/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/EBI3/CD80/IFNB1
GO:0007162,negative regulation of cell adhesion,Sep-97,295/18842,0.030508475,5.926192556,6.13452125,2.14E-05,0.000454207,0.000330934,6714/654/29126/259307/3586/1843/7422/941/3456,9,SRC/BMP6/CD274/IL4I1/IL10/DUSP1/VEGFA/CD80/IFNB1
GO:0050870,positive regulation of T cell activation,Aug-97,226/18842,0.03539823,6.876014962,6.392769519,2.19E-05,0.000459068,0.000334475,6714/1236/29126/259307/6347/7412/10148/941,8,SRC/CCR7/CD274/IL4I1/CCL2/VCAM1/EBI3/CD80
GO:0046651,lymphocyte proliferation,Aug-97,227/18842,0.035242291,6.845724147,6.374040895,2.26E-05,0.000469331,0.000341953,29126/259307/958/3586/7412/10148/941/3456,8,CD274/IL4I1/CD40/IL10/VCAM1/EBI3/CD80/IFNB1
GO:0032943,mononuclear cell proliferation,Aug-97,230/18842,0.034782609,6.756432093,6.318527812,2.48E-05,0.000510764,0.000372141,29126/259307/958/3586/7412/10148/941/3456,8,CD274/IL4I1/CD40/IL10/VCAM1/EBI3/CD80/IFNB1
GO:0071357,cellular response to type I interferon,Jun-97,116/18842,0.051724138,10.04728048,7.031041465,2.99E-05,0.00061094,0.000445129,8638/9636/3665/4939/3434/3456,6,OASL/ISG15/IRF7/OAS2/IFIT1/IFNB1
GO:0001541,ovarian follicle development,Apr-97,35/18842,0.114285714,22.19970545,9.030238199,3.06E-05,0.000617981,0.000450259,3624/7130/7422/4327,4,INHBA/TNFAIP6/VEGFA/MMP19
GO:0050918,positive chemotaxis,May-97,71/18842,0.070422535,13.67939596,7.69979484,3.24E-05,0.000649518,0.000473236,3627/6347/4233/7422/3576,5,CXCL10/CCL2/MET/VEGFA/CXCL8
GO:0002695,negative regulation of leukocyte activation,Jul-97,176/18842,0.039772727,7.725749766,6.448616169,3.49E-05,0.000692201,0.000504336,6714/3624/29126/259307/3586/941/3456,7,SRC/INHBA/CD274/IL4I1/IL10/CD80/IFNB1
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Jul-97,178/18842,0.039325843,7.638943589,6.401794606,3.75E-05,0.000733651,0.000534536,29126/259307/3586/10148/941/3554/3456,7,CD274/IL4I1/IL10/EBI3/CD80/IL1R1/IFNB1
GO:2001233,regulation of apoptotic signaling pathway,Sep-97,317/18842,0.028391167,5.514911054,5.831695525,3.76E-05,0.000733651,0.000534536,6714/467/4929/3624/3084/57007/3586/6615/3456,9,SRC/ATF3/NR4A2/INHBA/NRG1/ACKR3/IL10/SNAI1/IFNB1
GO:0034340,response to type I interferon,Jun-97,122/18842,0.049180328,9.553151935,6.81786346,3.98E-05,0.000768789,0.000560137,8638/9636/3665/4939/3434/3456,6,OASL/ISG15/IRF7/OAS2/IFIT1/IFNB1
GO:0003158,endothelium development,Jun-97,125/18842,0.048,9.323876289,6.716725856,4.56E-05,0.000873424,0.000636374,3627/3084/54567/654/4233/7422,6,CXCL10/NRG1/DLL4/BMP6/MET/VEGFA
GO:0007369,gastrulation,Jun-97,127/18842,0.047244094,9.177043591,6.651175038,4.99E-05,0.000946357,0.000689513,3690/3624/3586/1843/8013/6615,6,ITGB3/INHBA/IL10/DUSP1/NR4A3/SNAI1
GO:0031334,positive regulation of protein-containing complex assembly,Jul-97,188/18842,0.037234043,7.232616802,6.178150508,5.31E-05,0.000998464,0.000727477,6714/9636/1236/1440/10563/3084/7422,7,SRC/ISG15/CCR7/CSF3/CXCL13/NRG1/VEGFA
GO:0070664,negative regulation of leukocyte proliferation,May-97,79/18842,0.063291139,12.29414068,7.236202616,5.43E-05,0.001013992,0.000738791,29126/259307/6355/3586/941,5,CD274/IL4I1/CCL8/IL10/CD80
GO:0032102,negative regulation of response to external stimulus,Oct-97,416/18842,0.024038462,4.669409199,5.444053655,5.62E-05,0.001033359,0.000752902,6714/9636/10563/6347/3586/1843/7130/8013/54625/3554,10,SRC/ISG15/CXCL13/CCL2/IL10/DUSP1/TNFAIP6/NR4A3/PARP14/IL1R1
GO:0071360,cellular response to exogenous dsRNA,Mar-97,15/18842,0.2,38.84948454,10.54897242,5.75E-05,0.001033359,0.000752902,64135/3434/3456,3,IFIH1/IFIT1/IFNB1
GO:0002224,toll-like receptor signaling pathway,May-97,80/18842,0.0625,12.14046392,7.182966212,5.77E-05,0.001033359,0.000752902,330/79931/3656/3665/29126,5,BIRC3/TNIP3/IRAK2/IRF7/CD274
GO:0060337,type I interferon-mediated signaling pathway,May-97,80/18842,0.0625,12.14046392,7.182966212,5.77E-05,0.001033359,0.000752902,8638/9636/3665/4939/3456,5,OASL/ISG15/IRF7/OAS2/IFNB1
GO:0031295,T cell costimulation,Apr-97,41/18842,0.097560976,18.95096807,8.277219029,5.78E-05,0.001033359,0.000752902,6714/1236/29126/941,4,SRC/CCR7/CD274/CD80
GO:0031294,lymphocyte costimulation,Apr-97,42/18842,0.095238095,18.49975454,8.167192599,6.36E-05,0.001110341,0.00080899,6714/1236/29126/941,4,SRC/CCR7/CD274/CD80
GO:0032728,positive regulation of interferon-beta production,Apr-97,42/18842,0.095238095,18.49975454,8.167192599,6.36E-05,0.001110341,0.00080899,9636/3665/64135/4939,4,ISG15/IRF7/IFIH1/OAS2
GO:0050922,negative regulation of chemotaxis,Apr-97,42/18842,0.095238095,18.49975454,8.167192599,6.36E-05,0.001110341,0.00080899,10563/6347/1843/7130,4,CXCL13/CCL2/DUSP1/TNFAIP6
GO:0022408,negative regulation of cell-cell adhesion,Jul-97,194/18842,0.036082474,7.008927622,6.051692149,6.47E-05,0.001120974,0.000816738,654/29126/259307/3586/7422/941/3456,7,BMP6/CD274/IL4I1/IL10/VEGFA/CD80/IFNB1
GO:0002833,positive regulation of response to biotic stimulus,Oct-97,424/18842,0.023584906,4.581307139,5.365354005,6.58E-05,0.001131297,0.000824259,6714/330/79931/8638/3656/3665/654/29126/64135/3456,10,SRC/BIRC3/TNIP3/OASL/IRAK2/IRF7/BMP6/CD274/IFIH1/IFNB1
GO:0030217,T cell differentiation,Aug-97,265/18842,0.030188679,5.864073138,5.73628027,6.76E-05,0.001152845,0.000839959,1236/54567/6775/259307/9021/3586/941/3456,8,CCR7/DLL4/STAT4/IL4I1/SOCS3/IL10/CD80/IFNB1
GO:0019674,NAD+ metabolic process,Apr-97,43/18842,0.093023256,18.06952769,8.060898967,6.98E-05,0.001175666,0.000856587,10135/8942/54625/8564,4,NAMPT/KYNU/PARP14/KMO
GO:0002756,MyD88-independent toll-like receptor signaling pathway,Mar-97,16/18842,0.1875,36.42139175,10.19627887,7.06E-05,0.001175666,0.000856587,79931/3665/29126,3,TNIP3/IRF7/CD274
GO:0006568,L-tryptophan metabolic process,Mar-97,16/18842,0.1875,36.42139175,10.19627887,7.06E-05,0.001175666,0.000856587,8942/259307/8564,3,KYNU/IL4I1/KMO
GO:0050866,negative regulation of cell activation,Jul-97,198/18842,0.035353535,6.867333125,5.970337937,7.36E-05,0.001216646,0.000886444,6714/3624/29126/259307/3586/941/3456,7,SRC/INHBA/CD274/IL4I1/IL10/CD80/IFNB1
GO:2000404,regulation of T cell migration,Apr-97,44/18842,0.090909091,17.65885661,7.958126259,7.65E-05,0.001255713,0.000914908,3627/3690/10563/6364,4,CXCL10/ITGB3/CXCL13/CCL20
GO:0002573,myeloid leukocyte differentiation,Jul-97,201/18842,0.034825871,6.764835616,5.910789225,8.08E-05,0.001317105,0.000959638,6714/3624/1236/1440/3665/7130/7422,7,SRC/INHBA/CCR7/CSF3/IRF7/TNFAIP6/VEGFA
GO:0071359,cellular response to dsRNA,Mar-97,18/18842,0.166666667,32.37457045,9.579728559,0.000102037,0.001649972,0.001202164,64135/3434/3456,3,IFIH1/IFIT1/IFNB1
GO:0051924,regulation of calcium ion transport,Jul-97,211/18842,0.033175355,6.444227293,5.720770331,0.000109489,0.001757459,0.001280479,6373/3627/3690/57214/6351/6347/5142,7,CXCL11/CXCL10/ITGB3/CEMIP/CCL4/CCL2/PDE4B
GO:0042129,regulation of T cell proliferation,Jun-97,148/18842,0.040540541,7.874895514,6.04005593,0.000116496,0.001856277,0.001352477,29126/259307/3586/7412/10148/941,6,CD274/IL4I1/IL10/VCAM1/EBI3/CD80
GO:0051928,positive regulation of calcium ion transport,May-97,93/18842,0.053763441,10.44340982,6.567141541,0.000118408,0.001871562,0.001363614,6373/3627/57214/6351/6347,5,CXCL11/CXCL10/CEMIP/CCL4/CCL2
GO:0001932,regulation of protein phosphorylation,Sep-97,369/18842,0.024390244,4.737742017,5.216136046,0.00012058,0.001871562,0.001363614,51191/57214/3656/3084/3486/3586/54625/7422/941,9,HERC5/CEMIP/IRAK2/NRG1/IGFBP3/IL10/PARP14/VEGFA/CD80
GO:0009435,NAD+ biosynthetic process,Mar-97,19/18842,0.157894737,30.67064569,9.307959744,0.000120717,0.001871562,0.001363614,10135/8942/8564,3,NAMPT/KYNU/KMO
GO:0051250,negative regulation of lymphocyte activation,Jun-97,149/18842,0.040268456,7.822043866,6.01399771,0.000120884,0.001871562,0.001363614,3624/29126/259307/3586/941/3456,6,INHBA/CD274/IL4I1/IL10/CD80/IFNB1
GO:0043542,endothelial cell migration,Aug-97,290/18842,0.027586207,5.358549591,5.380724329,0.000126361,0.001942578,0.001415356,1960/3690/10563/54567/958/4233/3164/7422,8,EGR3/ITGB3/CXCL13/DLL4/CD40/MET/NR4A1/VEGFA
GO:0002221,pattern recognition receptor signaling pathway,Aug-97,291/18842,0.027491409,5.340135331,5.36736615,0.000129389,0.001975219,0.001439138,6714/330/79931/8638/3656/3665/29126/64135,8,SRC/BIRC3/TNIP3/OASL/IRAK2/IRF7/CD274/IFIH1
GO:0071622,regulation of granulocyte chemotaxis,Apr-97,51/18842,0.078431373,15.23509197,7.322603837,0.000137008,0.002077002,0.001513297,1236/6347/7130/3576,4,CCR7/CCL2/TNFAIP6/CXCL8
GO:0002689,negative regulation of leukocyte chemotaxis,Mar-97,20/18842,0.15,29.1371134,9.056424559,0.00014149,0.002130154,0.001552023,6347/1843/7130,3,CCL2/DUSP1/TNFAIP6
GO:1903706,regulation of hemopoiesis,Sep-97,382/18842,0.023560209,4.576509958,5.080078126,0.000156419,0.002338793,0.001704036,9636/3624/1440/3665/259307/3586/7130/941/3456,9,ISG15/INHBA/CSF3/IRF7/IL4I1/IL10/TNFAIP6/CD80/IFNB1
GO:0070663,regulation of leukocyte proliferation,Jul-97,224/18842,0.03125,6.070231959,5.491366679,0.000158549,0.002354514,0.001715491,29126/259307/6355/3586/7412/10148/941,7,CD274/IL4I1/CCL8/IL10/VCAM1/EBI3/CD80
GO:0048245,eosinophil chemotaxis,Mar-97,21/18842,0.142857143,27.74963181,8.822694233,0.000164456,0.002425725,0.001767375,6351/6355/6347,3,CCL4/CCL8/CCL2
GO:0002709,regulation of T cell mediated immunity,May-97,100/18842,0.05,9.712371134,6.283816875,0.000166735,0.002442842,0.001779846,29126/259307/941/3554/3456,5,CD274/IL4I1/CD80/IL1R1/IFNB1
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,Apr-97,54/18842,0.074074074,14.38869798,7.087450986,0.000171351,0.002493728,0.001816921,3084/3586/54625/941,4,NRG1/IL10/PARP14/CD80
GO:0010562,positive regulation of phosphorus metabolic process,Aug-97,305/18842,0.026229508,5.095014365,5.186575973,0.000178484,0.002563364,0.001867658,6714/374/57214/3084/3586/54625/7422/941,8,SRC/AREG/CEMIP/NRG1/IL10/PARP14/VEGFA/CD80
GO:0045937,positive regulation of phosphate metabolic process,Aug-97,305/18842,0.026229508,5.095014365,5.186575973,0.000178484,0.002563364,0.001867658,6714/374/57214/3084/3586/54625/7422/941,8,SRC/AREG/CEMIP/NRG1/IL10/PARP14/VEGFA/CD80
GO:0002758,innate immune response-activating signaling pathway,Aug-97,306/18842,0.026143791,5.078363992,5.174087943,0.000182509,0.002604031,0.001897288,6714/330/79931/8638/3656/3665/29126/64135,8,SRC/BIRC3/TNIP3/OASL/IRAK2/IRF7/CD274/IFIH1
GO:0002768,immune response-regulating cell surface receptor signaling pathway,Sep-97,392/18842,0.022959184,4.459762255,4.979505589,0.000189698,0.002653538,0.001933358,6714/79931/1236/3656/29126/958/5142/8013/941,9,SRC/TNIP3/CCR7/IRAK2/CD274/CD40/PDE4B/NR4A3/CD80
GO:0019359,nicotinamide nucleotide biosynthetic process,Mar-97,22/18842,0.136363636,26.48828491,8.604730316,0.000189713,0.002653538,0.001933358,10135/8942/8564,3,NAMPT/KYNU/KMO
GO:0019363,pyridine nucleotide biosynthetic process,Mar-97,22/18842,0.136363636,26.48828491,8.604730316,0.000189713,0.002653538,0.001933358,10135/8942/8564,3,NAMPT/KYNU/KMO
GO:0042098,T cell proliferation,Jun-97,162/18842,0.037037037,7.194348988,5.695867272,0.000190841,0.002653538,0.001933358,29126/259307/3586/7412/10148/941,6,CD274/IL4I1/IL10/VCAM1/EBI3/CD80
GO:0043065,positive regulation of apoptotic process,Oct-97,484/18842,0.020661157,4.013376502,4.831238916,0.000194496,0.002687242,0.001957916,467/3624/29126/958/3486/6347/3586/1843/3433/3456,10,ATF3/INHBA/CD274/CD40/IGFBP3/CCL2/IL10/DUSP1/IFIT2/IFNB1
GO:0045089,positive regulation of innate immune response,Sep-97,396/18842,0.022727273,4.414714152,4.940216306,0.000204568,0.002808633,0.00204636,6714/330/79931/8638/3656/3665/29126/64135/3456,9,SRC/BIRC3/TNIP3/OASL/IRAK2/IRF7/CD274/IFIH1/IFNB1
GO:0030522,intracellular receptor signaling pathway,Sep-97,399/18842,0.022556391,4.381520812,4.911089502,0.000216348,0.002928946,0.00213402,6714/330/8638/4929/3656/3665/64135/8013/3164,9,SRC/BIRC3/OASL/NR4A2/IRAK2/IRF7/IFIH1/NR4A3/NR4A1
GO:0009074,aromatic amino acid family catabolic process,Mar-97,23/18842,0.130434783,25.33662035,8.400807508,0.000217356,0.002928946,0.00213402,8942/259307/8564,3,KYNU/IL4I1/KMO
GO:0038128,ERBB2 signaling pathway,Mar-97,23/18842,0.130434783,25.33662035,8.400807508,0.000217356,0.002928946,0.00213402,6714/374/3084,3,SRC/AREG/NRG1
GO:0002707,negative regulation of lymphocyte mediated immunity,Apr-97,58/18842,0.068965517,13.39637398,6.801578992,0.000226291,0.002975861,0.002168202,29126/259307/941/3456,4,CD274/IL4I1/CD80/IFNB1
GO:0008585,female gonad development,Apr-97,58/18842,0.068965517,13.39637398,6.801578992,0.000226291,0.002975861,0.002168202,3624/7130/7422/4327,4,INHBA/TNFAIP6/VEGFA/MMP19
GO:0032608,interferon-beta production,Apr-97,58/18842,0.068965517,13.39637398,6.801578992,0.000226291,0.002975861,0.002168202,9636/3665/64135/4939,4,ISG15/IRF7/IFIH1/OAS2
GO:0032648,regulation of interferon-beta production,Apr-97,58/18842,0.068965517,13.39637398,6.801578992,0.000226291,0.002975861,0.002168202,9636/3665/64135/4939,4,ISG15/IRF7/IFIH1/OAS2
GO:0042113,B cell activation,Jul-97,238/18842,0.029411765,5.713159491,5.263717451,0.000229925,0.003005548,0.002189832,3624/259307/958/3586/7412/10148/3456,7,INHBA/IL4I1/CD40/IL10/VCAM1/EBI3/IFNB1
GO:0002698,negative regulation of immune effector process,May-97,108/18842,0.046296296,8.992936235,5.99236264,0.000239,0.003088822,0.002250505,29126/259307/3586/941/3456,5,CD274/IL4I1/IL10/CD80/IFNB1
GO:0002706,regulation of lymphocyte mediated immunity,Jun-97,169/18842,0.035502959,6.896358202,5.538794881,0.00023993,0.003088822,0.002250505,29126/259307/3586/941/3554/3456,6,CD274/IL4I1/IL10/CD80/IL1R1/IFNB1
GO:0042130,negative regulation of T cell proliferation,Apr-97,59/18842,0.06779661,13.16931679,6.734492024,0.000241796,0.003088822,0.002250505,29126/259307/3586/941,4,CD274/IL4I1/IL10/CD80
GO:0042327,positive regulation of phosphorylation,Jul-97,240/18842,0.029166667,5.665549828,5.232674889,0.000241955,0.003088822,0.002250505,374/57214/3084/3586/54625/7422/941,7,AREG/CEMIP/NRG1/IL10/PARP14/VEGFA/CD80
GO:0072677,eosinophil migration,Mar-97,24/18842,0.125,24.28092784,8.209454363,0.000247482,0.003122847,0.002275296,6351/6355/6347,3,CCL4/CCL8/CCL2
GO:2001026,regulation of endothelial cell chemotaxis,Mar-97,24/18842,0.125,24.28092784,8.209454363,0.000247482,0.003122847,0.002275296,10563/4233/7422,3,CXCL13/MET/VEGFA
GO:0046545,development of primary female sexual characteristics,Apr-97,60/18842,0.066666667,12.94982818,6.669011824,0.000258051,0.003237504,0.002358834,3624/7130/7422/4327,4,INHBA/TNFAIP6/VEGFA/MMP19
GO:0002218,activation of innate immune response,Aug-97,326/18842,0.024539877,4.766807919,4.935189216,0.000280098,0.003475205,0.002532023,6714/330/79931/8638/3656/3665/29126/64135,8,SRC/BIRC3/TNIP3/OASL/IRAK2/IRF7/CD274/IFIH1
GO:0072525,pyridine-containing compound biosynthetic process,Mar-97,25/18842,0.12,23.30969072,8.029407164,0.000280181,0.003475205,0.002532023,10135/8942/8564,3,NAMPT/KYNU/KMO
GO:0006816,calcium ion transport,Sep-97,416/18842,0.021634615,4.202468279,4.751285069,0.000294287,0.003629541,0.002644471,6373/3627/3690/57214/1236/6351/6355/6347/5142,9,CXCL11/CXCL10/ITGB3/CEMIP/CCR7/CCL4/CCL8/CCL2/PDE4B
GO:0045577,regulation of B cell differentiation,Mar-97,26/18842,0.115384615,22.41316416,7.859573645,0.000315547,0.003869884,0.002819584,3624/259307/3586,3,INHBA/IL4I1/IL10
GO:0051209,release of sequestered calcium ion into cytosol,May-97,116/18842,0.043103448,8.372733736,5.729677189,0.000332941,0.004060395,0.00295839,6373/3627/3690/57214/1236,5,CXCL11/CXCL10/ITGB3/CEMIP/CCR7
GO:0002429,immune response-activating cell surface receptor signaling pathway,Aug-97,336/18842,0.023809524,4.624938635,4.822909785,0.000342931,0.004158996,0.00303023,6714/79931/1236/3656/29126/5142/8013/941,8,SRC/TNIP3/CCR7/IRAK2/CD274/PDE4B/NR4A3/CD80
GO:0002704,negative regulation of leukocyte mediated immunity,Apr-97,65/18842,0.061538462,11.95368755,6.363543883,0.000351314,0.004218898,0.003073874,29126/259307/941/3456,4,CD274/IL4I1/CD80/IFNB1
GO:0010818,T cell chemotaxis,Mar-97,27/18842,0.111111111,21.58304696,7.699004177,0.000353668,0.004218898,0.003073874,6373/3627/10563,3,CXCL11/CXCL10/CXCL13
GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,Mar-97,27/18842,0.111111111,21.58304696,7.699004177,0.000353668,0.004218898,0.003073874,602/9021/54625,3,BCL3/SOCS3/PARP14
GO:0043434,response to peptide hormone,Sep-97,427/18842,0.021077283,4.094207972,4.652353392,0.000356164,0.00422558,0.003078743,6714/374/3690/4929/3624/6775/3586/8013/3164,9,SRC/AREG/ITGB3/NR4A2/INHBA/STAT4/IL10/NR4A3/NR4A1
GO:0046631,alpha-beta T cell activation,Jun-97,183/18842,0.032786885,6.368767957,5.249901025,0.000367669,0.004324863,0.00315108,29126/6775/9021/3586/10148/941,6,CD274/STAT4/SOCS3/IL10/EBI3/CD80
GO:0050727,regulation of inflammatory response,Sep-97,429/18842,0.020979021,4.075120756,4.634721725,0.000368495,0.004324863,0.00315108,6714/330/653361/1236/283131/3586/7130/8013/3554,9,SRC/BIRC3/NCF1/CCR7/NEAT1/IL10/TNFAIP6/NR4A3/IL1R1
GO:0072577,endothelial cell apoptotic process,Apr-97,66/18842,0.060606061,11.77257107,6.306449422,0.000372513,0.004325516,0.003151556,3690/958/6347/3586,4,ITGB3/CD40/CCL2/IL10
GO:2000106,regulation of leukocyte apoptotic process,Apr-97,66/18842,0.060606061,11.77257107,6.306449422,0.000372513,0.004325516,0.003151556,1236/3665/29126/3586,4,CCR7/IRF7/CD274/IL10
GO:0030879,mammary gland development,Apr-97,67/18842,0.059701493,11.59686106,6.250572372,0.000394613,0.004510396,0.003286259,6714/3084/4939/7422,4,SRC/NRG1/OAS2/VEGFA
GO:0007595,lactation,Mar-97,28/18842,0.107142857,20.81222386,7.546868658,0.000394634,0.004510396,0.003286259,6714/4939/7422,3,SRC/OAS2/VEGFA
GO:0042430,indole-containing compound metabolic process,Mar-97,28/18842,0.107142857,20.81222386,7.546868658,0.000394634,0.004510396,0.003286259,8942/259307/8564,3,KYNU/IL4I1/KMO
GO:0018108,peptidyl-tyrosine phosphorylation,May-97,122/18842,0.040983607,7.960959946,5.548700037,0.000419984,0.004775136,0.003479148,6714/3084/3586/54625/941,5,SRC/NRG1/IL10/PARP14/CD80
GO:0002697,regulation of immune effector process,Aug-97,347/18842,0.023054755,4.478326748,4.704387264,0.000424887,0.004805847,0.003501524,653361/29126/259307/3586/8013/941/3554/3456,8,NCF1/CD274/IL4I1/IL10/NR4A3/CD80/IL1R1/IFNB1
GO:0002286,T cell activation involved in immune response,May-97,123/18842,0.040650407,7.896236694,5.519738612,0.000436015,0.004906293,0.003574708,6775/9021/3586/941/3456,5,STAT4/SOCS3/IL10/CD80/IFNB1
GO:0033631,cell-cell adhesion mediated by integrin,Mar-97,29/18842,0.103448276,20.09456097,7.40243782,0.00043853,0.004909287,0.00357689,3690/10563/7412,3,ITGB3/CXCL13/VCAM1
GO:0046660,female sex differentiation,Apr-97,69/18842,0.057971014,11.26072016,6.14229496,0.000441597,0.0049184,0.00358353,3624/7130/7422/4327,4,INHBA/TNFAIP6/VEGFA/MMP19
GO:0002456,T cell mediated immunity,May-97,124/18842,0.040322581,7.832557366,5.491102207,0.000452503,0.004988959,0.003634939,29126/259307/941/3554/3456,5,CD274/IL4I1/CD80/IL1R1/IFNB1
GO:0018212,peptidyl-tyrosine modification,May-97,124/18842,0.040322581,7.832557366,5.491102207,0.000452503,0.004988959,0.003634939,6714/3084/3586/54625/941,5,SRC/NRG1/IL10/PARP14/CD80
GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,Jun-97,191/18842,0.031413613,6.102013278,5.098029294,0.000461509,0.005062683,0.003688653,6714/330/8638/3656/3665/64135,6,SRC/BIRC3/OASL/IRAK2/IRF7/IFIH1
GO:0050672,negative regulation of lymphocyte proliferation,Apr-97,70/18842,0.057142857,11.09985272,6.08981231,0.000466526,0.005066797,0.003691651,29126/259307/3586/941,4,CD274/IL4I1/IL10/CD80
GO:0051279,regulation of release of sequestered calcium ion into cytosol,Apr-97,70/18842,0.057142857,11.09985272,6.08981231,0.000466526,0.005066797,0.003691651,6373/3627/3690/57214,4,CXCL11/CXCL10/ITGB3/CEMIP
GO:0050868,negative regulation of T cell activation,May-97,125/18842,0.04,7.769896907,5.462784407,0.000469457,0.005073387,0.003696452,29126/259307/3586/941/3456,5,CD274/IL4I1/IL10/CD80/IFNB1
GO:0032607,interferon-alpha production,Mar-97,30/18842,0.1,19.42474227,7.265067996,0.000485442,0.005169367,0.003766383,3665/64135/3586,3,IRF7/IFIH1/IL10
GO:0032647,regulation of interferon-alpha production,Mar-97,30/18842,0.1,19.42474227,7.265067996,0.000485442,0.005169367,0.003766383,3665/64135/3586,3,IRF7/IFIH1/IL10
