ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0071621,granulocyte chemotaxis,Nov-97,112/18842,0.098214286,19.07787187,13.80328789,1.29E-11,1.87E-09,1.36E-09,3627/1236/6351/10563/6355/6347/5142/2921/7130/7422/3576,11,CXCL10/CCR7/CCL4/CXCL13/CCL8/CCL2/PDE4B/CXCL3/TNFAIP6/VEGFA/CXCL8
GO:0019058,viral life cycle,15/97,284/18842,0.052816901,10.25954697,11.31041248,1.66E-11,2.27E-09,1.66E-09,6714/8638/9636/9235/3669/3690/64135/24138/6355/6347/4939/941/3576/3434/3456,15,SRC/OASL/ISG15/IL32/ISG20/ITGB3/IFIH1/IFIT5/CCL8/CCL2/OAS2/CD80/CXCL8/IFIT1/IFNB1
GO:0071216,cellular response to biotic stimulus,14/97,245/18842,0.057142857,11.09985272,11.44647482,2.92E-11,3.75E-09,2.73E-09,79931/3627/3656/1440/10563/654/29126/958/6347/3586/5142/941/3576/8564,14,TNIP3/CXCL10/IRAK2/CSF3/CXCL13/BMP6/CD274/CD40/CCL2/IL10/PDE4B/CD80/CXCL8/KMO
GO:0097530,granulocyte migration,Nov-97,133/18842,0.082706767,16.06557631,12.54242181,8.47E-11,1.03E-08,7.48E-09,3627/1236/6351/10563/6355/6347/5142/2921/7130/7422/3576,11,CXCL10/CCR7/CCL4/CXCL13/CCL8/CCL2/PDE4B/CXCL3/TNFAIP6/VEGFA/CXCL8
GO:0016032,viral process,16/97,383/18842,0.041775457,8.114774838,10.11932588,1.10E-10,1.27E-08,9.23E-09,6714/8638/9636/9235/3669/3690/3665/64135/24138/6355/6347/4939/941/3576/3434/3456,16,SRC/OASL/ISG15/IL32/ISG20/ITGB3/IRF7/IFIH1/IFIT5/CCL8/CCL2/OAS2/CD80/CXCL8/IFIT1/IFNB1
GO:0045071,negative regulation of viral genome replication,Aug-97,48/18842,0.166666667,32.37457045,15.65611186,1.17E-10,1.28E-08,9.32E-09,8638/9636/3669/64135/24138/4939/3434/3456,8,OASL/ISG15/ISG20/IFIH1/IFIT5/OAS2/IFIT1/IFNB1
GO:1990868,response to chemokine,Oct-97,103/18842,0.097087379,18.85897308,13.07365466,1.29E-10,1.28E-08,9.35E-09,6373/3627/1236/6351/10563/6355/57007/6347/6349/1843,10,CXCL11/CXCL10/CCR7/CCL4/CXCL13/CCL8/ACKR3/CCL2/CCL3L1/DUSP1
GO:1990869,cellular response to chemokine,Oct-97,103/18842,0.097087379,18.85897308,13.07365466,1.29E-10,1.28E-08,9.35E-09,6373/3627/1236/6351/10563/6355/57007/6347/6349/1843,10,CXCL11/CXCL10/CCR7/CCL4/CXCL13/CCL8/ACKR3/CCL2/CCL3L1/DUSP1
GO:0048525,negative regulation of viral process,Sep-97,74/18842,0.121621622,23.62468654,14.0276381,1.46E-10,1.38E-08,1.01E-08,8638/9636/9235/3669/64135/24138/4939/3434/3456,9,OASL/ISG15/IL32/ISG20/IFIH1/IFIT5/OAS2/IFIT1/IFNB1
GO:0045069,regulation of viral genome replication,Sep-97,77/18842,0.116883117,22.70424421,13.72811362,2.10E-10,1.91E-08,1.39E-08,8638/9636/3669/64135/24138/4939/3576/3434/3456,9,OASL/ISG15/ISG20/IFIH1/IFIT5/OAS2/CXCL8/IFIT1/IFNB1
